,className,classStanding,isTransfer,major,gpa,age,gender,exerciseHrs,gymVisits,mentalHealth,timeToSleep,hrsSleep,energyLevels,caffeineFreq,caffeineType,caffeineIntake,units
57,CS111,Junior,0,CS major,Prefer not to say,20 - 22,Male,More than 5+ hours,5 - 6 times,4,30 - 45 minutes,6 - 7 hours,4,I don't consume them at all,"Tea, Energy drink",Less than 12 oz (about 1 cup),20
58,CS105,Junior,0,Other,3.34 - 3.66,18 - 20,Male,2 - 3 hours,5 - 6 times,3,0 - 15 minutes,5 - 6 hours,4,Once per day,"Energy drink, Matcha",12-24 oz (1 - 2 cups),17
59,CS111,Sophomore,0,CS major,3.67 - 4.0,18 - 20,Female,0 -1 hours,"0, I don't go to the gym",3,15 - 30 minutes,6 - 7 hours,3,Once per day,Coffee,12-24 oz (1 - 2 cups),16
60,CS111,Junior,0,CS major,3.00 - 3.33,20 - 22,Male,More than 5+ hours,5 - 6 times,2,30 - 45 minutes,7 - 8 hours,3,once in a blue moon if i dont get enough sleep,"Tea, Coffee, Energy drink",0 oz,17
61,CS105,Graduate,1,Data Science major,2.50 - 2.99,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",2,30 - 45 minutes,5 - 6 hours,2,once every 2 days,"Tea, Energy drink, Soda",Less than 12 oz (about 1 cup),14
62,CS111,Junior,0,CS major,3.00 - 3.33,20 - 22,Male,More than 5+ hours,5 - 6 times,5,15 - 30 minutes,7 - 8 hours,4,Multiple times per week,"Tea, Coffee",Less than 12 oz (about 1 cup),16
63,CS111,Senior,0,CSBA major,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,"0, I don't go to the gym",3,15 - 30 minutes,6 - 7 hours,3,I don't consume them at all,None,0 oz,13
64,CS111,Junior,0,CSBA major,3.67 - 4.0,20 - 22,Female,0 -1 hours,"0, I don't go to the gym",2,45 - 60 minutes,5 - 6 hours,3,Once per week,"Tea, Coffee",Less than 12 oz (about 1 cup),12
65,CS111,Junior,1,CS major,3.67 - 4.0,18 - 20,Male,2 - 3 hours,"0, I don't go to the gym",5,0 - 15 minutes,7 - 8 hours,4,I don't consume them at all,None,0 oz,17
66,CS111,Junior,0,Mathematics major,3.67 - 4.0,20 - 22,Male,2 - 3 hours,1 - 2 times,4,30 - 45 minutes,5 - 6 hours,3,I don't consume them at all,None,0 oz,16
67,CS111,Senior,0,CSBA major,3.34 - 3.66,18 - 20,Male,More than 5+ hours,More than 6 times,2,60+ minutes,0 - 3 hours,4,I don't consume them at all,None,0 oz,14
68,CS105,Junior,0,Data Science major,3.67 - 4.0,18 - 20,Male,4 - 5 hours,3 - 4 times,3,15 - 30 minutes,7 - 8 hours,4,I don't consume them at all,None,0 oz,16
69,CS105,Junior,1,CS major,2.00 - 2.49,26+,Male,0 -1 hours,"0, I don't go to the gym",4,30 - 45 minutes,6 - 7 hours,4,I don't consume them at all,None,0 oz,9
70,CS111,Junior,0,CEN or EE major,2.50 - 2.99,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",2,15 - 30 minutes,6 - 7 hours,3,I don't consume them at all,Tea,Less than 12 oz (about 1 cup),13
