,className,classStanding,isTransfer,major,gpa,age,gender,exerciseHrs,gymVisits,mentalHealth,timeToSleep,hrsSleep,energyLevels,caffeineFreq,caffeineType,caffeineIntake,units
38,CS111,Junior,0,CSBA major,3.67 - 4.0,20 - 22,Male,4 - 5 hours,"0, I don't go to the gym",4,60+ minutes,6 - 7 hours,4,I don't consume them at all,None,0 oz,>15
39,CS111,Junior,0,CSBA major,2.50 - 2.99,18 - 20,Female,4 - 5 hours,3 - 4 times,2,0 - 15 minutes,6 - 7 hours,4,I don't consume them at all,None,0 oz,12-15
40,CS105,Senior,0,Other,3.34 - 3.66,20 - 22,Male,More than 5+ hours,5 - 6 times,3,30 - 45 minutes,7 - 8 hours,4,Once per day,"Tea, Coffee, Energy drink",12-24 oz (1 - 2 cups),>15
41,"CS105, CS111",Junior,0,CSBA major,3.00 - 3.33,20 - 22,Female,0 - 1 hours,1 - 2 times,4,60+ minutes,8 - 9 hours,2,Once per week,Energy drink,Less than 12 oz (about 1 cup),12-15
42,CS105,Graduate,0,Other,3.67 - 4.0,26+,Female,2 - 3 hours,1 - 2 times,4,15 - 30 minutes,6 - 7 hours,4,I don't consume them at all,None,0 oz,12-15
43,"CS105, CS111",Senior,1,CS major,3.00 - 3.33,22 - 24,Male,2 - 3 hours,1 - 2 times,3,45 - 60 minutes,6 - 7 hours,3,I don't consume them at all,None,0 oz,12-15
44,CS105,Senior,1,CS major,2.00 - 2.49,26+,Male,0 - 1 hours,"0, I don't go to the gym",3,15 - 30 minutes,6 - 7 hours,3,Once per week,"Tea, Energy drink",Less than 12 oz (about 1 cup),>15
45,CS105,Senior,0,CS major,3.00 - 3.33,22 - 24,Male,2 - 3 hours,"0, I don't go to the gym",4,15 - 30 minutes,6 - 7 hours,3,I don't consume them at all,None,0 oz,12-15
46,CS105,Senior,0,CS major,3.67 - 4.0,20 - 22,Non-binary,2 - 3 hours,"0, I don't go to the gym",2,0 - 15 minutes,5 - 6 hours,2,Once per day,"Tea, Coffee, Energy drink",25-48 oz (2 - 4 cups),12-15
47,CS105,Junior,0,Data Science major,3.67 - 4.0,20 - 22,Non-binary,More than 5+ hours,3 - 4 times,4,60+ minutes,6 - 7 hours,4,Once per week,"Tea, Coffee",0 oz,>15
48,CS105,Junior,0,CS major,3.34 - 3.66,20 - 22,Non-binary,4 - 5 hours,3 - 4 times,2,15 - 30 minutes,7 - 8 hours,3,Once per day,"Energy drink, soda",12-24 oz (1 - 2 cups),>15
49,CS111,Junior,0,CS major,3.34 - 3.66,18 - 20,Male,More than 5+ hours,3 - 4 times,3,30 - 45 minutes,7 - 8 hours,3,Once per week,Energy drink,Less than 12 oz (about 1 cup),12-15
50,CS105,Junior,0,Data Science major,3.34 - 3.66,20 - 22,Male,0 - 1 hours,"0, I don't go to the gym",3,15 - 30 minutes,8 - 9 hours,3,Multiple times per week,Energy drink,25-48 oz (2 - 4 cups),>15
51,CS111,Junior,1,CEN or EE major,Prefer not to say,20 - 22,Female,0 - 1 hours,"0, I don't go to the gym",3,0 - 15 minutes,7 - 8 hours,3,I don't consume them at all,None,0 oz,12-15
52,CS105,Junior,0,Data Science major,3.34 - 3.66,20 - 22,Male,0 - 1 hours,"0, I don't go to the gym",4,30 - 45 minutes,6 - 7 hours,3,Multiple times per week,Coffee,12-24 oz (1 - 2 cups),12-15
53,CS111,Junior,1,CS major,2.50 - 2.99,24 - 26,Female,2 - 3 hours,3 - 4 times,2,15 - 30 minutes,5 - 6 hours,2,Once per day,Tea,Less than 12 oz (about 1 cup),>15
54,CS105,Senior,0,Other,3.67 - 4.0,20 - 22,Female,4 - 5 hours,"0, I don't go to the gym",3,15 - 30 minutes,5 - 6 hours,3,Once per week,"Tea, Coffee",Less than 12 oz (about 1 cup),12-15
55,CS111,Junior,0,CS major,3.67 - 4.0,18 - 20,Male,0 - 1 hours,"0, I don't go to the gym",5,0 - 15 minutes,8 - 9 hours,5,I don't consume them at all,None,0 oz,>15
56,CS111,Junior,0,Other,3.67 - 4.0,18 - 20,Female,2 - 3 hours,1 - 2 times,2,15 - 30 minutes,7 - 8 hours,4,Once per week,Tea,Less than 12 oz (about 1 cup),>15
57,CS111,Junior,0,CS major,Prefer not to say,20 - 22,Male,More than 5+ hours,5 - 6 times,4,30 - 45 minutes,6 - 7 hours,4,I don't consume them at all,"Tea, Energy drink",Less than 12 oz (about 1 cup),>15
58,CS105,Junior,0,Other,3.34 - 3.66,18 - 20,Male,2 - 3 hours,5 - 6 times,3,0 - 15 minutes,5 - 6 hours,4,Once per day,"Energy drink, Matcha",12-24 oz (1 - 2 cups),>15
59,CS111,Sophomore,0,CS major,3.67 - 4.0,18 - 20,Female,0 - 1 hours,"0, I don't go to the gym",3,15 - 30 minutes,6 - 7 hours,3,Once per day,Coffee,12-24 oz (1 - 2 cups),>15
60,CS111,Junior,0,CS major,3.00 - 3.33,20 - 22,Male,More than 5+ hours,5 - 6 times,2,30 - 45 minutes,7 - 8 hours,3,,"Tea, Coffee, Energy drink",0 oz,>15
61,CS105,Graduate,1,Data Science major,2.50 - 2.99,20 - 22,Male,0 - 1 hours,"0, I don't go to the gym",2,30 - 45 minutes,5 - 6 hours,2,,"Tea, Energy drink, Soda",Less than 12 oz (about 1 cup),12-15
62,CS111,Junior,0,CS major,3.00 - 3.33,20 - 22,Male,More than 5+ hours,5 - 6 times,5,15 - 30 minutes,7 - 8 hours,4,Multiple times per week,"Tea, Coffee",Less than 12 oz (about 1 cup),>15
63,CS111,Senior,0,CSBA major,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,"0, I don't go to the gym",3,15 - 30 minutes,6 - 7 hours,3,I don't consume them at all,None,0 oz,12-15
64,CS111,Junior,0,CSBA major,3.67 - 4.0,20 - 22,Female,0 - 1 hours,"0, I don't go to the gym",2,45 - 60 minutes,5 - 6 hours,3,Once per week,"Tea, Coffee",Less than 12 oz (about 1 cup),12-15
65,CS111,Junior,1,CS major,3.67 - 4.0,18 - 20,Male,2 - 3 hours,"0, I don't go to the gym",5,0 - 15 minutes,7 - 8 hours,4,I don't consume them at all,None,0 oz,>15
66,CS111,Junior,0,Mathematics major,3.67 - 4.0,20 - 22,Male,2 - 3 hours,1 - 2 times,4,30 - 45 minutes,5 - 6 hours,3,I don't consume them at all,None,0 oz,>15
67,CS111,Senior,0,CSBA major,3.34 - 3.66,18 - 20,Male,More than 5+ hours,More than 6 times,2,60+ minutes,0 - 3 hours,4,I don't consume them at all,None,0 oz,12-15
68,CS105,Junior,0,Data Science major,3.67 - 4.0,18 - 20,Male,4 - 5 hours,3 - 4 times,3,15 - 30 minutes,7 - 8 hours,4,I don't consume them at all,None,0 oz,>15
69,CS105,Junior,1,CS major,2.00 - 2.49,26+,Male,0 - 1 hours,"0, I don't go to the gym",4,30 - 45 minutes,6 - 7 hours,4,I don't consume them at all,None,0 oz,<12
70,CS111,Junior,0,CEN or EE major,2.50 - 2.99,20 - 22,Male,0 - 1 hours,"0, I don't go to the gym",2,15 - 30 minutes,6 - 7 hours,3,I don't consume them at all,Tea,Less than 12 oz (about 1 cup),12-15
71,CS111,Junior,1,CS major,Prefer not to say,20 - 22,Male,More than 5+ hours,1 - 2 times,2,0 - 15 minutes,5 - 6 hours,4,Multiple times per week,Energy drink,Less than 12 oz (about 1 cup),12-15
